Fecha|Part#|Turno|Piezas|Estandar|Cost|Linea|Celda|Planta|Dado|Time
20251118|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|105609
20251031|71742054|1|16.000|16.000|12.43|E1C11001|E1C|1815|C11-02|115543
20251102|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|115543
20251206|7172179830|1|150.000|150.000|11.00|E1C11001|E1C|1815|C11-02|115548
20251031|71742054|1|16.000|16.000|12.43|E1C11001|E1C|1815|C11-02|140015
20251107|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|140015
20251122|7172179930|1|150.000|150.000|10.82|E1C11001|E1C|1815|C11-02|102450
20251126|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|102450
20251004|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|113140
20251022|7152565930|1|180.000|180.000|28.63|E1C11001|E1C|1815|C11-02|113140
20251130|7173453440|1|4000.000|4000.000|42.36|E1C11001|E1C|1815|C11-02|102349
20251206|7174022330|1|250.000|250.000|29.57|E1C11001|E1C|1815|C11-02|132833
20251027|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|135818
20251104|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|112625
20251127|7174155530|1|1600.000|1600.000|57.48|E1C11001|E1C|1815|C11-02|102351
20251013|7158708050|1|6000.000|6000.000|131.38|E1C11001|E1C|1815|C11-02|102351
20251030|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|105603
20251110|7157781380|1|5000.000|5000.000|45.16|E1C11001|E1C|1815|C11-02|113109
20251005|7123756430|1|770.000|770.000|91.03|E1C11001|E1C|1815|C11-02|112505
20251012|7174022330|1|250.000|250.000|29.57|E1C11001|E1C|1815|C11-02|112616
20251021|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|105346
20251120|7158617440|1|4000.000|4000.000|87.25|E1C11001|E1C|1815|C11-02|112611
20251216|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|142854
20251115|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|112636
20251029|7172179830|1|150.000|150.000|11.00|E1C11001|E1C|1815|C11-02|092346
