Inventory|Location|Box Unit|Part No.|Date|Dept
2YC|TRAILER01|96.000|000000000071851965|20241218|E
2YC|TRAILER01|96.000|000000000071851965|20241218|E
2YC|TRAILER01|96.000|000000000071851965|20241218|E
2YC|TRAILER01|96.000|000000000071851965|20241218|E
2YC|TRAILER01|96.000|000000000071851965|20250120|E
2YC|TRAILER01|96.000|000000000071851965|20250120|E
2YC|TRAILER01|96.000|000000000071851965|20250120|E
2YC|TRAILER01|96.000|000000000071851965|20250227|E
2YC|TRAILER01|96.000|000000000071851965|20250227|E
2YC|TRAILER01|96.000|000000000071851965|20250227|E
2YC|TRAILER01|96.000|000000000071851965|20241218|E
2YC|TRAILER01|96.000|000000000071851965|20241218|E
2YC|TRAILER01|96.000|000000000071851965|20241218|E
2YC|TRAILER01|96.000|000000000071851965|20241218|E
2YC|TRAILER01|96.000|000000000071851965|20241218|E
2YC|TRAILER01|96.000|000000000071851965|20241218|E
2YC|TRAILER01|96.000|000000000071851965|20241218|E
2YC|TRAILER01|96.000|000000000071851965|20241218|E
