Cntrl Pl. Plant|Maquina|Celda|FECHA|Hora inicio|Part#|Dado|Cavidades|T ciclico|Resina
1815|T2G03004|T2G|20260204|130014|7173741830|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173753030|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173755130|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173777830|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03002|T2G|20260204|130014|7173777930|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03001|T2G|20260204|130014|7173778630|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03001|T2G|20260204|130014|7173778730|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03001|T2G|20260204|130014|7173778830|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03001|T2G|20260204|130014|7173780330|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173789430|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03002|T2G|20260204|130014|7173789630|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03002|T2G|20260204|130014|7173789830|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03002|T2G|20260204|130014|7173790830|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03002|T2G|20260204|130014|7173790930|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03002|T2G|20260204|130014|7173791030|TROQUEL 52P|0000000000|0.000|M510055530
1815|F0604038|F06|20260204|130014|7182120050|UB1|0000000002|29.498|M510006151
1815|F0604049|F06|20260204|130014|7182120090|UB1|0000000002|29.498|M510006190
1815|F0204006|F02|20260204|130014|7182321430|UB1|0000000002|33.300|M510017230
1815|F0204028|F02|20260204|130014|7182388530|Y1|0000000004|23.501|M510017230
1815|G0211003|G02|20260204|130014|7182553640|UB2|0000000004|28.195|M510015040
1815|G0105021|G01|20260204|130014|7182555810|UB2|0000000004|35.107|M510015010
1815|F0508030|F05|20260204|130014|7182644340|Y3|0000000008|21.802|M510071300
1815|G0421009|G04|20260204|130014|7182645470|MA1|0000000016|22.982|M510018800
1815|F0511027|F05|20260204|130014|7182645830|Y1|0000000008|38.794|M510018830
1815|F0508026|F05|20260204|130014|7182645840|Y2|0000000008|29.491|M510018800
1815|F0211056|F02|20260204|130014|7182656940|M1|0000000004|23.904|M510018800
1815|F0605001|F06|20260204|130014|7182907280|UB2|0000000004|19.498|M510018800
1815|G0321003|G03|20260204|130014|7182915030|Y4|0000000002|43.999|M510017230
1815|F0605026|F06|20260204|130014|7183114840|UB1|0000000002|15.998|M510006140
1815|F0411013|F04|20260204|130014|7183321430|Y2|0000000004|26.698|M510017230
