Part Number|Description|Dep|PLN|Plant Mat Stat|Line|Unit/Bag|Unit/Box|UOM|Box Wgt Std|Stor.Conditions
71842376|Channel|E|Z1|20|E1C11001|1000.000|30.000|EA|2940.000|01
71842108|PROTECTOR, PROTECTOR PP NA|E|Z1|20|E1C11001|1000.000|52.000|EA|4940.000|
71842093|PROTECTOR R, PROTECTOR PP NA W/H/D: 415.|E|Z1|20|E1C11001|1000.000|40.000|EA|1864.000|
71842092|PROTECTOR (L), PROTECTOR(L) PP NA W/H/D:|E|Z1|20|E1C11001|1000.000|40.000|EA|1995.600|
71841996|BATTERY PROTECTOR, PROTECTER PP B W/H/DZ|E|Z1|20|E1C11001|30.000|30.000|EA|1050.000|
71841935|PROTECTOR, PROTECTOR PP NA W/H/D: 128.6/|E|Z1|20|E1C11001|150.000|150.000|EA|2550.000|
S7134268930|Routing Cover Black|E|Z2|20||36.000|150.000|EA|2100.000|WE
S7134231840|Box Cover Light Gray|E|Z2|20||36.000|75.000|EA|1050.000|WE
S7134223630|Box Cover Black|E|Z2|20||1000.000|100.000|EA|100.000|WE
S7129196430|Connector 3p 045 Black|E|Z2|20||1000.000|1000.000|EA|1000.000|WE
S7129196390|Connector 6p 045 Blue|E|Z2|20||36.000|500.000|EA|1170.000|WE
S712919003W|Connector 40p 040 Black|E|Z2|20||36.000|100.000|EA|4668.000|WE
S7129190030|BULK HEAD CONNECTOR 40P HOUSING FEMALE T|E|Z2|20||36.000|200.000|EA|9336.000|WE
S7128196430|Connector 3p 045 Black|E|Z2|20||1000.000|500.000|EA|500.000|WE
S7128196390|Connector 6p 045 Blue|E|Z2|20||36.000|500.000|EA|1365.000|WE
S7125983330|CT-20 POWER WINDOW SWITCH CONNECTOR 14PO|E|Z2|20||1000.000|150.000|EA|150.000|WE
S7125292130|Connector 12p G Black|E|Z2|20||36.000|400.000|EA|2240.000|WE
7198805810|7P 5P 1.5MM 2P 9.5MM SEALED FEMALE H|E|Z2|40|F0511015|1000.000|200.000|EA|4868.000|01
7198805740|7P 5P 1.5MM 2P 9.5MM SEALED FEMALE H|E|Z2|40|F0511015|1000.000|200.000|EA|4896.000|01
7198805630|7P 5P 1.5MM 2P 9.5MM SEALED FEMALE H|E|Z2|40|F0511015|1000.000|200.000|EA|4864.000|01
7198799140|14P 12X1.2MM 2X2.8MM SEALED FEMALE OUTE|E|Z2|35|F0511015|1000.000|380.000|EA|4890.600|01
7198798930|14P 12X1.2MM 2X2.8MM SEALED FEMALE OUTE|E|Z2|35|F0511015|1000.000|380.000|EA|4826.000|01
7198798540|14P 12X1.2MM 2X2.8MM SEALED FEMALE OUTE|E|Z2|35|F0511015|1000.000|380.000|EA|4674.000|01
7198797930|14P 12X1.2MM 2X2.8MM SEALED FEMALE OUTE|E|Z2|40|F0511023|1000.000|380.000|EA|4655.000|01
7198635430|8P HYBRID 6P 1.2MM + 2P MINI FAKRA UNSEA|E|Z2|40|G0105016|1000.000|715.000|EA|2516.800|01
7198482570|28P 2X6.3MM 6X2.8MM 20X1.2MM SEALED FE|E|Z2|20||1000.000|120.000|EA|2756.400|
7198470040|12P 1.2MM UNSEALED FEMALE HOUSING KEYWAY|E|Z2|20||1000.000|440.000|EA|1188.000|
7198465210|6P YESC 1.5MM SEALED FEMALE HOUSING KEYW|E|Z2|20||1000.000|270.000|EA|3539.700|
7182730140|2.3-2 090-2 10P CONNECTOR HOUSING MALE,|E|Z2|20||1000.000|700.000|EA|6741.000|
7182644350|YESC KAIZEN 1.5SYSTEM 2P M HOUSING TYPE|E|Z2|20||1000.000|400.000|EA|2000.000|
7182638540|HYBRID SYSTEM CONNECTOR 14P MALE BRACKET|E|Z2|40|F0512004|1000.000|152.000|EA|3111.440|01
7182637630|26P LIF HYBRID CONNECTOR MALE HOUSING, P|E|Z2|40|F0508011|1000.000|200.000|EA|4428.000|01
